cid,rhealth,raceth,fem,pfem,sprhealth,marstrain,simx,simy,marhappy
228,Good,nh-white,0,1,3,-.75,16.876394,3.0386479,.75
228,Good,nh-white,1,0,3,-1.25,15.413011,4.4559402,1.25
229,Very Good,nh-white,1,1,4,-2,18.739773,4.0207577,2
229,Very Good,nh-white,1,1,4,-1.75,18.349112,1.3510172,1.75
232,Very Good,nh-white,1,1,3,-1.75,18.14855,3.45748,1.75
232,Good,nh-white,1,1,4,-1.25,16.763063,.53673851,1.25
233,Good,nh-white,0,0,4,-1,16.105232,4.8210492,1
233,Very Good,nh-white,0,0,3,-2,20.494949,3.5322273,2
234,Very Good,nh-white,1,1,4,-1,18.551584,4.9211407,1
234,Very Good,nh-white,1,1,4,-1.5,18.957508,3.1618423,1.5
236,Very Good,hispanic,0,0,2,-1,19.280647,4.4506278,1
236,Fair,nh-white,0,0,4,-1.75,16.173326,1.7112751,1.75
237,Very Good,nh-white,0,0,2,-1,20.419451,5.9677548,1
237,Fair,nh-white,0,0,4,-.75,12.480956,1.5005331,.75
239,Very Good,nh-white,0,0,3,-1.75,18.407042,6.5849781,1.75
239,Good,nh-white,0,0,4,-2,18.220507,4.9934239,2
241,Good,nh-white,1,1,3,-1,16.624683,3.3334088,1
241,Good,nh-white,1,1,3,-.5,18.199806,3.8580561,.5
242,Fair,nh-white,0,0,3,-2,16.277008,2.4929595,2
242,Good,nh-white,0,0,2,-2,18.230625,5.7778058,2
243,Very Good,nh-white,1,1,3,-2,17.976973,5.5201283,2
243,Good,nh-white,1,1,4,0,18.658085,2.2627025,0
245,Excellent,nh-white,0,0,5,-1.5,21.990786,5.0232325,1.5
245,Excellent,nh-white,0,0,5,-1.5,22.788054,4.2431345,1.5
246,Good,nh-white,0,0,3,-2,15.042431,1.8108529,2
246,Good,nh-white,0,0,3,-1.75,15.596796,1.472362,1.75
247,Fair,hispanic,0,0,4,-2,17.204962,.8090198,2
247,Very Good,hispanic,0,0,2,-1.5,20.23222,6.3121772,1.5
249,Very Good,nh-white,1,1,4,-1.75,19.556412,2.8627706,1.75
249,Very Good,nh-white,1,1,4,-1.5,19.154694,3.2691302,1.5
251,Good,nh-white,0,0,3,-.75,18.569544,2.7120051,.75
251,Good,nh-other,0,0,3,0,16.143431,2.4858449,0
253,Fair,nh-white,1,1,3,-.75,15.912348,.63892633,.75
253,Good,nh-white,1,1,2,-1.25,19.197672,4.8862982,1.25
254,Very Good,nh-white,0,0,5,-1.75,22.550217,4.5384374,1.75
254,Excellent,nh-white,0,0,4,-1.25,20.974939,5.0410056,1.25
255,Good,nh-white,0,0,4,-2,17.36248,.56281102,2
255,Very Good,nh-white,0,0,3,-1.75,19.780802,4.3553519,1.75
256,Very Good,nh-white,0,0,2,-1.5,19.712378,3.6260142,1.5
256,Fair,nh-white,0,0,4,-1.75,15.370872,.68559128,1.75
257,Fair,nh-white,1,1,3,-1.25,16.63229,3.166811,1.25
257,Good,nh-white,1,1,2,-1.5,18.380093,3.1224208,1.5
258,Good,nh-white,1,1,3,-1.75,17.659473,2.9351873,1.75
258,Good,nh-white,1,1,3,-1.25,15.672441,2.7276711,1.25
259,Good,nh-white,0,0,4,-1.75,20.307377,.90598309,1.75
259,Very Good,nh-white,0,0,3,-1.5,18.217644,3.6834898,1.5
260,Good,nh-white,1,1,5,-1.5,17.536007,1.6273482,1.5
260,Excellent,nh-white,1,1,3,-1.75,22.641144,4.4736037,1.75
264,Good,nh-white,0,0,3,-1.75,15.689174,1.8688309,1.75
264,Good,nh-white,0,0,3,.25,17.564177,2.8249855,-.25
265,Excellent,nh-white,0,0,4,-1.25,21.582438,4.913548,1.25
265,Very Good,nh-white,0,0,5,-1.5,19.924992,3.1405485,1.5
266,Very Good,nh-white,1,1,3,-1.5,21.384348,2.8358839,1.5
266,Good,nh-white,1,1,4,-.75,20.548658,2.9842868,.75
267,Good,nh-white,0,0,4,-1.75,18.480705,2.6835902,1.75
267,Very Good,nh-asian,0,0,3,-1.75,17.193714,4.9639521,1.75
270,Very Good,nh-asian,1,0,3,-1,20.74032,4.8797331,1
270,Good,nh-asian,0,1,4,0,18.655764,1.2411239,0
272,Very Good,nh-white,1,0,5,-1.5,20.87447,.70072007,1.5
272,Excellent,nh-white,0,1,4,-1.75,24.142647,8.1107531,1.75
280,Very Good,nh-white,1,1,4,-1.5,20.285892,3.3375862,1.5
280,Very Good,nh-mixed,1,1,4,-1.5,18.503777,3.2984843,1.5
303,Very Good,nh-white,1,0,4,-1.75,21.52636,5.471961,1.75
303,Very Good,nh-white,0,1,4,-1.5,19.689383,5.9700799,1.5
305,Good,nh-white,1,0,3,-1,15.640732,1.6826162,1
305,Good,nh-white,0,1,3,-.25,20.837807,2.0073388,.25
307,Excellent,nh-white,1,0,5,-1.75,21.064449,6.8255854,1.75
307,Excellent,nh-white,0,1,5,-1.75,20.277836,4.8332229,1.75
308,Excellent,nh-white,1,1,4,-2,21.40641,5.2434154,2
308,Very Good,nh-white,1,1,5,-1.5,20.374371,3.717494,1.5
309,Very Good,nh-white,1,1,4,-1.75,19.252739,.21787423,1.75
309,Very Good,nh-white,1,1,4,-2,18.240694,4.3329735,2
310,Very Good,nh-white,1,1,2,-1,17.964272,5.6473846,1
310,Fair,nh-white,1,1,4,-.5,13.289791,.82077891,.5
311,Good,nh-white,0,0,4,-1.75,19.931845,3.9445224,1.75
311,Very Good,nh-white,0,0,3,-2,19.004684,3.8256299,2
314,Very Good,nh-white,1,1,4,-1.75,19.079853,4.1337147,1.75
314,Very Good,nh-asian,1,1,4,-1.5,18.858833,5.6776824,1.5
315,Very Good,nh-white,0,0,2,-1.5,20.664772,1.2343951,1.5
315,Fair,nh-black,0,0,4,-1.5,13.981812,2.1676011,1.5
317,Very Good,nh-white,1,1,4,-1.25,18.378141,5.1595864,1.25
317,Very Good,nh-white,1,1,4,-.75,20.368612,6.3568678,.75
319,Fair,nh-white,1,0,4,-1.75,14.436915,4.1196256,1.75
319,Very Good,nh-white,0,1,2,-1.5,20.271702,3.3220947,1.5
320,Good,nh-white,1,0,4,-1.25,16.884348,1.6950564,1.25
320,Very Good,nh-white,0,1,3,-1.5,20.844498,3.8349235,1.5
322,Excellent,nh-white,1,1,5,-1.5,23.452532,6.8269029,1.5
322,Excellent,nh-white,1,1,5,-1.5,24.618713,1.9433763,1.5
323,Good,nh-white,0,0,5,-1.25,17.078716,.72043192,1.25
323,Excellent,nh-white,0,0,3,-1.5,21.393471,5.855176,1.5
325,Poor,nh-white,1,1,4,-1,7.9190664,2.4953728,1
325,Very Good,nh-white,1,1,1,-1,20.763712,3.8217974,1
326,Very Good,nh-white,1,1,3,-2,19.719141,2.2543318,2
326,Good,nh-white,1,1,4,-2,16.748091,1.9777069,2
327,Fair,nh-white,1,1,2,-.75,16.923311,3.4078035,.75
327,Fair,nh-white,1,1,2,-.25,15.7969,.67703307,.25
328,Excellent,nh-white,0,0,4,.25,21.748714,6.9869046,-.25
328,Very Good,hispanic,0,0,5,-1,18.974987,7.7868524,1
330,Good,nh-mixed,0,0,3,.25,17.857531,.68810302,-.25
330,Good,nh-white,0,0,3,-1.25,18.080715,3.2323678,1.25
331,Good,nh-white,1,1,3,-1.5,19.063496,2.0414817,1.5
331,Good,nh-white,1,1,3,-1.25,18.413794,4.4484558,1.25
332,Excellent,nh-white,1,1,5,-1.75,22.800858,5.6709099,1.75
332,Excellent,nh-white,1,1,5,-.75,23.139088,9.4901485,.75
333,Excellent,nh-white,1,1,4,-1.25,20.298407,4.8840566,1.25
333,Very Good,nh-white,1,1,5,-1.5,18.992643,3.0073326,1.5
334,Fair,nh-white,1,1,1,-.25,15.652068,3.1670129,.25
334,Poor,nh-white,1,1,2,-2,12.671436,1.9544405,2
342,Fair,nh-white,1,0,4,-.75,14.836046,1.182525,.75
342,Very Good,nh-white,0,1,2,-.25,19.723417,4.2302036,.25
346,Good,nh-white,1,0,5,-1.5,18.04529,2.4758799,1.5
346,Excellent,nh-white,0,1,3,-.5,21.633667,9.3603334,.5
347,Good,nh-white,1,0,3,-.25,15.908348,1.60095,.25
347,Good,nh-white,0,1,3,-1.5,15.532488,3.5241313,1.5
352,Very Good,nh-white,1,0,3,-1.5,21.800564,6.2798452,1.5
352,Good,nh-white,0,1,4,-1.75,17.288448,2.6027956,1.75
353,Very Good,nh-white,1,0,2,-2,22.316473,5.4399648,2
353,Fair,nh-white,0,1,4,-2,14.931876,-1.4577469,2
355,Good,hispanic,1,0,3,-1.25,15.867799,4.3937492,1.25
355,Good,nh-white,0,1,3,.75,16.521833,.014533766,-.75
356,Fair,nh-white,1,0,2,-1.5,13.961618,2.9702573,1.5
356,Fair,nh-white,0,1,2,-1.75,15.429759,1.6539656,1.75
363,Good,nh-white,1,0,3,-1.5,18.04804,3.4866219,1.5
363,Good,nh-white,0,1,3,-1.25,18.342888,3.9053199,1.25
364,Good,nh-white,1,0,4,-.25,18.986839,2.4417377,.25
364,Very Good,nh-white,0,1,3,-.5,21.091774,3.4223721,.5
