cid,rhealth,raceth,fem,pfem,sprhealth,marstrain
310,Fair,nh-white,1,1,4,-.5
311,Good,nh-white,0,0,4,-1.75
311,Very Good,nh-white,0,0,3,-2
314,Very Good,nh-white,1,1,4,-1.75
314,Very Good,nh-asian,1,1,4,-1.5
315,Very Good,nh-white,0,0,2,-1.5
315,Fair,nh-black,0,0,4,-1.5
317,Very Good,nh-white,1,1,4,-1.25
317,Very Good,nh-white,1,1,4,-.75
319,Fair,nh-white,1,0,4,-1.75
319,Very Good,nh-white,0,1,2,-1.5
320,Good,nh-white,1,0,4,-1.25
320,Very Good,nh-white,0,1,3,-1.5
322,Excellent,nh-white,1,1,5,-1.5
322,Excellent,nh-white,1,1,5,-1.5
323,Good,nh-white,0,0,5,-1.25
323,Excellent,nh-white,0,0,3,-1.5
325,Poor,nh-white,1,1,4,-1
325,Very Good,nh-white,1,1,1,-1
326,Very Good,nh-white,1,1,3,-2
326,Good,nh-white,1,1,4,-2
327,Fair,nh-white,1,1,2,-.75
327,Fair,nh-white,1,1,2,-.25
328,Excellent,nh-white,0,0,4,.25
328,Very Good,hispanic,0,0,5,-1
330,Good,nh-mixed,0,0,3,.25
330,Good,nh-white,0,0,3,-1.25
331,Good,nh-white,1,1,3,-1.5
331,Good,nh-white,1,1,3,-1.25
332,Excellent,nh-white,1,1,5,-1.75
332,Excellent,nh-white,1,1,5,-.75
333,Excellent,nh-white,1,1,4,-1.25
333,Very Good,nh-white,1,1,5,-1.5
334,Fair,nh-white,1,1,1,-.25
334,Poor,nh-white,1,1,2,-2
342,Fair,nh-white,1,0,4,-.75
342,Very Good,nh-white,0,1,2,-.25
346,Good,nh-white,1,0,5,-1.5
346,Excellent,nh-white,0,1,3,-.5
347,Good,nh-white,1,0,3,-.25
347,Good,nh-white,0,1,3,-1.5
352,Very Good,nh-white,1,0,3,-1.5
352,Good,nh-white,0,1,4,-1.75
353,Very Good,nh-white,1,0,2,-2
353,Fair,nh-white,0,1,4,-2
355,Good,hispanic,1,0,3,-1.25
355,Good,nh-white,0,1,3,.75
356,Fair,nh-white,1,0,2,-1.5
356,Fair,nh-white,0,1,2,-1.75
363,Good,nh-white,1,0,3,-1.5
363,Good,nh-white,0,1,3,-1.25
364,Good,nh-white,1,0,4,-.25
364,Very Good,nh-white,0,1,3,-.5
368,Good,nh-white,1,0,3,-.25
368,Good,nh-white,0,1,3,-.75
369,Good,nh-white,1,0,4,-1.25
369,Very Good,nh-white,0,1,3,-.75
370,Very Good,nh-white,1,0,2,.5
370,Fair,nh-white,0,1,4,-.75
374,Good,nh-white,1,0,3,-1.75
374,Good,nh-white,0,1,3,-.25
375,Excellent,nh-white,1,0,3,-.75
375,Good,nh-white,0,1,5,-.75
377,Very Good,nh-white,0,1,2,-1
377,Fair,nh-white,1,0,4,.25
378,Good,nh-white,1,1,2,-1.75
378,Fair,nh-mixed,1,1,3,-1.5
381,Very Good,nh-white,1,1,5,-1
381,Excellent,nh-asian,1,1,4,-2
382,Good,nh-white,1,0,4,-.25
382,Very Good,nh-white,0,1,3,-1.5
385,Good,nh-white,0,0,3,.75
385,Good,nh-white,0,0,3,-.5
386,Very Good,nh-white,1,1,5,-1.75
386,Excellent,nh-white,1,1,4,-1.75
387,Good,nh-other,1,0,4,0
387,Very Good,hispanic,0,1,3,-.25
390,Good,nh-white,1,1,5,-1.75
390,Excellent,nh-black,1,1,3,0
394,Good,nh-white,1,0,3,-.5
394,Good,nh-white,0,1,3,-.25
395,Very Good,nh-white,0,0,4,-1.5
395,Very Good,nh-white,0,0,4,-.75
397,Good,nh-white,0,1,4,0
397,Very Good,nh-white,1,0,3,-.75
398,Good,nh-white,1,1,3,-2
398,Good,nh-white,1,1,3,-2
399,Excellent,nh-white,0,1,3,-.75
399,Good,nh-white,1,0,5,-1.25
404,Very Good,nh-white,0,0,3,-1.75
404,Good,nh-white,0,0,4,-1.25
406,Good,nh-white,0,0,3,-.75
406,Good,nh-white,0,0,3,-1.5
407,Very Good,nh-white,1,1,4,-1.75
407,Very Good,nh-white,1,1,4,-2
409,Excellent,nh-white,1,1,5,-2
409,Excellent,nh-white,1,1,5,-1.5
410,Good,nh-white,1,1,3,-1.5
410,Good,nh-black,1,1,3,-.75
412,Excellent,nh-white,0,0,3,-1.5
412,Good,nh-white,0,0,5,-1
413,Good,nh-white,1,1,5,-1
413,Excellent,nh-white,1,1,3,-1.75
416,Good,nh-white,1,1,3,-1.75
416,Good,nh-white,1,1,3,-1
417,Fair,nh-white,1,1,4,-1.5
417,Very Good,nh-white,1,1,2,0
418,Excellent,nh-white,1,0,2,-1.5
418,Fair,nh-white,0,1,5,-.25
419,Fair,nh-white,1,0,4,.75
419,Very Good,nh-white,0,1,2,-.25
420,Very Good,nh-white,1,1,5,-1
420,Excellent,nh-white,1,1,4,-2
421,Excellent,nh-white,0,0,5,-.5
421,Excellent,nh-white,0,0,5,.25
423,Very Good,nh-mixed,1,1,4,-.5
423,Very Good,nh-white,1,1,4,-1.25
424,Very Good,nh-white,1,1,2,-1.25
424,Fair,nh-white,1,1,4,.25
425,Excellent,nh-white,1,1,3,-1.75
425,Good,nh-white,1,1,5,-.75
426,Good,nh-white,0,0,4,.25
426,Very Good,nh-white,0,0,3,.5
428,Very Good,nh-white,1,1,1,-.75
428,Poor,nh-white,1,1,4,-1
429,Poor,nh-white,1,1,4,-1.5
429,Very Good,nh-white,1,1,1,-2
430,Very Good,nh-white,1,1,4,-2
430,Very Good,nh-white,1,1,4,-2
431,Good,hispanic,0,0,4,-1.75
431,Very Good,nh-white,0,0,3,-.5
432,Very Good,nh-white,0,0,3,-1.5
432,Good,nh-white,0,0,4,-1.75
434,Fair,nh-white,0,0,5,-1
434,Excellent,hispanic,0,0,2,-1
435,Excellent,nh-white,0,0,4,.25
435,Very Good,nh-white,0,0,5,-1.75
436,Good,nh-white,1,1,5,-1.75
436,Excellent,nh-white,1,1,3,-1.75
438,Good,nh-white,1,1,3,-1
438,Good,nh-white,1,1,3,-.25
439,Excellent,nh-black,0,0,3,-1.5
439,Good,nh-white,0,0,5,-1.5
440,Fair,nh-white,1,0,4,-1
440,Very Good,nh-white,0,1,2,0
443,Good,nh-white,0,0,3,-1.5
443,Good,nh-white,0,0,3,-1.5
444,Good,nh-white,1,0,3,-1.75
444,Good,nh-white,0,1,3,-2
445,Poor,hispanic,1,0,4,-1.75
445,Very Good,hispanic,0,1,1,-1.75
446,Excellent,nh-white,1,1,5,-1.75
446,Excellent,nh-white,1,1,5,-1.75
448,Fair,nh-white,1,0,4,-.25
448,Very Good,nh-white,0,1,2,-.5
449,Very Good,nh-white,0,0,4,-.75
449,Very Good,nh-white,0,0,4,-.75
450,Very Good,nh-white,0,0,2,-.75
450,Fair,nh-white,0,0,4,-2
451,Very Good,nh-white,1,1,4,-.25
451,Very Good,nh-white,1,1,4,-1.25
452,Good,nh-white,0,1,3,-1.75
452,Good,nh-white,1,0,3,-1.25
454,Excellent,nh-white,1,0,3,-1.5
454,Good,nh-white,0,1,5,-1.25
455,Very Good,nh-asian,1,1,2,-1.25
455,Fair,nh-asian,1,1,4,-.75
457,Good,nh-white,0,0,3,-1.5
457,Good,nh-white,0,0,3,-.75
459,Very Good,nh-white,1,1,2,-.75
459,Fair,nh-white,1,1,4,-1.75
460,Good,nh-white,1,1,3,-1.75
460,Good,nh-white,1,1,3,-.75
461,Good,nh-white,1,1,4,-1.5
461,Very Good,nh-white,1,1,3,-1.5
462,Very Good,nh-white,0,0,4,-1
462,Very Good,nh-white,0,0,4,-.5
463,Excellent,nh-white,0,0,5,-1.75
463,Excellent,nh-white,0,0,5,-1.75
464,Very Good,nh-white,1,1,4,-1
464,Very Good,nh-white,1,1,4,-2
465,Good,nh-white,0,0,4,-.5
465,Very Good,nh-asian,0,0,3,-.75
466,Excellent,nh-white,0,0,4,-1.5
466,Very Good,nh-white,0,0,5,-1.5
468,Very Good,nh-white,0,0,3,-.25
468,Good,nh-white,0,0,4,-.25
469,Very Good,nh-white,1,0,5,-1.5
469,Excellent,nh-white,0,1,4,-1.5
470,Very Good,nh-white,1,1,4,-1.75
470,Very Good,nh-white,1,1,4,-1.5
471,Good,nh-white,0,0,3,-1.75
471,Good,nh-white,0,0,3,-1.5
472,Good,nh-white,1,1,1,-.75
472,Poor,nh-white,1,1,3,-.25
474,Very Good,nh-white,1,0,4,-.75
474,Very Good,hispanic,0,1,4,-1.5
475,Good,nh-white,1,1,4,-2
475,Very Good,nh-white,1,1,3,-2
476,Poor,nh-white,1,0,3,-1.25
476,Good,nh-white,0,1,1,-.75
478,Very Good,nh-white,1,0,4,-1.5
478,Very Good,nh-white,0,1,4,-1.75
479,Very Good,nh-white,1,0,3,-2
479,Good,nh-white,0,1,4,-1
480,Good,nh-white,1,1,4,-1.25
480,Very Good,nh-white,1,1,3,-1.25
481,Very Good,nh-white,1,1,4,-1
481,Very Good,nh-white,1,1,4,-1.5
482,Excellent,nh-mixed,0,0,4,-1.5
482,Very Good,nh-white,0,0,5,-.75
483,Good,nh-black,1,0,5,-1.75
483,Excellent,nh-black,0,1,3,-1.75
484,Excellent,nh-white,1,1,3,-.75
484,Good,hispanic,1,1,5,-.25
485,Good,nh-white,0,0,3,-1.75
485,Good,nh-white,0,0,3,0
486,Good,nh-white,0,0,3,-1
486,Good,nh-white,0,0,3,-1.25
488,Very Good,nh-white,0,0,3,-.75
488,Good,nh-white,0,0,4,-1.5
489,Fair,hispanic,1,0,4,0
489,Very Good,hispanic,0,1,2,-.25
490,Poor,nh-white,1,1,2,-1
490,Fair,nh-white,1,1,1,-2
494,Very Good,nh-white,1,0,5,-2
494,Excellent,hispanic,0,1,4,-1
495,Poor,nh-white,1,0,4,-.5
495,Very Good,nh-white,0,1,1,-.75
496,Good,nh-white,1,0,2,-.75
496,Fair,nh-white,0,1,3,-.75
499,Fair,nh-white,1,0,4,-1.25
499,Very Good,nh-white,0,1,2,-1.5
500,Good,nh-white,1,0,4,-1.25
500,Very Good,nh-white,0,1,3,-1.25
501,Good,nh-white,1,1,4,-1.5
501,Very Good,nh-native american,1,1,3,-1.25
503,Good,nh-white,1,1,3,-1.75
503,Good,nh-white,1,1,3,-2
505,Excellent,nh-white,1,1,3,-1.5
